pathway	external_id	source	hgnc_symbol_ids
PI3K-Akt signaling pathway - Homo sapiens (human)	path:hsa04151	KEGG	"BCL2L1,PCK2,PCK1,GHR,PPP2R3B,PPP2R3C,PRKCA,PPP2R3A,THBS3,IFNAR2,EPO,AKT2,IFNAR1,IKBKG,EFNA2,EGF,KITLG,MLST8,PIK3CA,PIK3CB,GNG10,GNG11,GNG12,GNG13,HSP90AB1,RELN,ITGA2,IFNA13,PIK3R3,MYC,KRAS,IFNA17,IFNA16,PIK3R2,BRCA1,IGF1R,STK11,DDIT4,ANGPT1,CD19,PPP2R2D,CREB5,TNXB,CREB3,FN1,CREB1,PPP2R2B,IFNA8,FASLG,CSF3R,TEK,MDM2,FGFR2,FGFR3,FGFR1,IKBKB,YWHAZ,VEGFA,GH1,GH2,AKT1,SYK,PPP2CA,CCND3,CCND2,CSF1,GSK3B,TLR2,PTEN,GNG4,GNG5,GNG2,GNG3,TLR4,OSM,MAPK1,CSF3,GNG8,ITGA8,ITGA9,NGF,PPP2CB,EFNA3,CDKN1B,CDKN1A,ITGA3,ITGA4,ITGA5,HSP90B1,ITGA7,ITGA10,ITGA11,IFNA5,CHRM1,LAMB1,PDGFD,LAMB3,KIT,IBSP,LAMB4,VEGFC,THEM4,GNG7,COL9A2,TSC2,THBS4,RAC1,THBS2,F2R,NOS3,THBS1,MYB,IFNA10,PIK3R5,GRB2,JAK2,JAK3,MTCP1,JAK1,ANGPT2,CDK4,FLT1,CDK2,ANGPT4,BCL2,PDGFB,PKN2,TNN,IL4R,IFNA6,PRLR,EIF4E1B,CHUK,IL7R,GYS1,VEGFD,COL4A5,COL4A4,COL4A3,COL4A2,HRAS,FGF8,FGF7,LAMC3,FGF5,FGF4,FGF3,FGF2,FGF1,EIF4B,EPOR,VTN,LPAR1,TP53,CCNE1,CDC37,COL4A6,CREB3L4,G6PC,ITGAV,INS,AKT3,GYS2,EIF4EBP1,IGF1,PRL,PPP2R5D,PPP2R5E,VWF,LPAR5,FGF22,FGF23,FGF20,PPP2R5C,PDGFRB,PDGFRA,IFNA4,FGF9,CHAD,CSF1R,VEGFB,EPHA2,MAP2K1,RPS6,EFNA1,TNR,FGF6,FLT4,PIK3CG,COL2A1,PIK3AP1,TSC1,COL4A1,LAMC1,CRTC2,ATF2,ITGA2B,RPS6KB1,RPS6KB2,MAPK3,FGF19,FGF18,SOS1,RAF1,ITGA1,FGF13,NFKB1,FGF11,FGF10,FGF17,FGF16,KDR,FGF14,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,RBL2,GNB5,COMP,EFNA5,EFNA4,GNB1,RXRA,GNB3,COL9A1,IL7,MTOR,ITGA6,FGF12,PHLPP2,PHLPP1,COL1A2,RELA,LAMC2,IL2RA,IL2RB,HSP90AA1,SGK3,SGK2,SGK1,IL2RG,IFNA2,IFNA1,IFNA7,IRS1,BAD,C8orf44-SGK3,IL6,MET,IL4,IFNA21,SPP1,IL3,CDK6,COL1A1,LPAR2,LPAR3,RHEB,LPAR6,SOS2,LPAR4,NGFR,PPP2R1A,PPP2R1B,PTK2,EGFR,PRKAA2,PRKAA1,CCND1,FOXO3,MAP2K2,INSR,RPTOR,MCL1,PPP2R5B,COL6A2,PGF,CREB3L2,IL6R,LAMB2,BCL2L11,PIK3R1,G6PC2,IL2,YWHAQ,NRAS,EIF4E,YWHAH,OSMR,GNB4,YWHAB,YWHAG,YWHAE,ITGB1,PDGFA,ITGB3,PDGFC,ITGB5,ITGB4,ITGB7,ITGB6,PKN1,ITGB8,PKN3,NR4A1,IFNA14,CHRM2,IFNB1,COL9A3,PIK3CD,PPP2R2C,TNC,ATF4,HGF,GNB2,COL6A3,G6PC3,TCL1B,TCL1A,EIF4E2,CSH2,CSH1,IL3RA,CASP9,PPP2R5A,PPP2R2A,CREB3L3,CREB3L1,FGFR4,GNGT2,GNGT1,COL6A1,PDPK1,ATF6B,FGF21,COL6A5,CCNE2,COL6A6"
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"	path:hsa00250	KEGG	"NIT2,ADSS,ASNS,GLUL,ABAT,ADSL,GLS,ASS1,GAD1,GAD2,CAD,ASPA,GOT2,IL4I1,GOT1,ASL,RIMKLA,RIMKLB,DDO,GFPT1,GPT,ADSSL1,AGXT2,NAT8L,ALDH4A1,GPT2,AGXT,GLUD2,GLUD1,PPAT,ALDH5A1,GFPT2,FOLH1,CPS1,GLS2"
Folate biosynthesis - Homo sapiens (human)	path:hsa00790	KEGG	"ALPP,ALPPL2,DHFR,QDPR,SPR,GCH1,MOCS2,MOCS1,DHFR2,FPGS,ALPI,ALPL,PTS,GGH,GPHN"
Complement and coagulation cascades - Homo sapiens (human)	path:hsa04610	KEGG	"KNG1,F11,CD55,C1QC,VSIG4,CD59,PROS1,C1QB,C8A,C8B,SERPING1,C1QA,C8G,KLKB1,F13A1,A2M,MBL2,SERPINA1,F10,F2RL2,SERPINA5,SERPINC1,C4BPA,C4BPB,TFPI,CR2,F7,SERPINE1,C9,CPB2,C4A,C4B,PLAUR,C3,C2,FGG,C7,FGA,FGB,PROCR,ITGAX,ITGB2,PLAT,F13B,CD46,PLAU,VTN,C5AR1,C1S,CR1,SERPINF2,F12,CLU,THBD,SERPINB2,SERPIND1,BDKRB1,F2,BDKRB2,F5,CFH,CFI,F8,C3AR1,CFD,F3,CFB,MASP1,MASP2,C6,PLG,F2R,C5,ITGAM,F9,F2RL3,C1R,VWF,PROC"
Citrate cycle (TCA cycle) - Homo sapiens (human)	path:hsa00020	KEGG	"PCK2,PCK1,CS,MDH2,MDH1,FH,IDH3A,OGDH,IDH3B,IDH3G,PC,PDHB,OGDHL,PDHA2,PDHA1,DLD,IDH2,IDH1,SUCLG2,SUCLG1,ACO1,ACO2,DLST,SUCLA2,DLAT,SDHA,ACLY,SDHC,SDHB,SDHD"
Antigen processing and presentation - Homo sapiens (human)	path:hsa04612	KEGG	"CD74,HSPA2,TAP2,KLRD1,HSPA5,HSPA4,HLA-C,HLA-B,HLA-A,HSPA8,HLA-G,HLA-F,HLA-E,CD4,NFYB,B2M,HSPA6,KIR3DL2,CANX,HSPA1L,KLRC3,KIR2DL3,HLA-DRA,CTSS,PSME1,CIITA,KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,KIR2DS1,HSP90AB1,HSPA1A,HLA-DQB1,CREB1,KLRC1,HLA-DPB1,RFXANK,KLRC2,CTSL,KLRC4,TAP1,IFNG,HLA-DRB3,CTSB,HLA-DRB1,PSME2,PSME3,IFI30,HLA-DRB5,TNF,HLA-DRB4,KIR3DL3,CD8A,KIR3DL1,KIR2DL5A,CD8B,RFXAP,NFYC,LGMN,HSPA1B,RFX5,CALR,PDIA3,NFYA,TAPBP,KIR2DL2,KIR2DL1,HLA-DOA,HLA-DOB,KIR2DL4,HLA-DPA1,HSP90AA1,HLA-DMB,HLA-DQA1,HLA-DQA2,HLA-DMA"
Primary immunodeficiency - Homo sapiens (human)	path:hsa05340	KEGG	"TAP1,IL7R,TAP2,CD40LG,ADA,RFXANK,CD4,LCK,IKBKG,DCLRE1C,CD79A,CIITA,JAK3,BLNK,ICOS,ORAI1,CD40,RAG2,RAG1,UNG,CD8A,ZAP70,CD8B,TNFRSF13B,TNFRSF13C,RFXAP,AIRE,IL2RG,RFX5,CD3E,PTPRC,IGLL1,CD3D,AICDA,BTK,CD19"
Dorso-ventral axis formation - Homo sapiens (human)	path:hsa04320	KEGG	"PIWIL4,PIWIL3,PIWIL2,PIWIL1,CPEB4,EGFR,CPEB3,CPEB2,MAP2K1,SOS2,NOTCH3,ETS2,MAPK3,ETS1,CPEB1,FMN2,KRAS,SOS1,ETV7,ETV6,NOTCH4,SPIRE1,NOTCH1,NOTCH2,SPIRE2,GRB2,BRAF,MAPK1"
Prion diseases - Homo sapiens (human)	path:hsa05020	KEGG	"MAP2K1,CCL5,PRNP,BAX,NOTCH1,C8A,C8B,C8G,IL1A,STIP1,NCAM1,NCAM2,HSPA5,EGR1,FYN,MAPK3,C9,MAPK1,C7,C6,C5,HSPA1A,SOD1,CASP12,LAMC1,MAP2K2,C1QC,C1QB,C1QA,IL6,PRKACG,ELK1,PRKACA,PRKACB,IL1B"
Fanconi anemia pathway - Homo sapiens (human)	path:hsa03460	KEGG	"FAAP100,ERCC1,ERCC4,MUS81,UBE2T,ATR,FANCD2,POLN,BRIP1,POLK,RMI1,POLI,POLH,SLX4,FANCF,SLX1A,CENPS,SLX1B,MLH1,FANCG,ATRIP,FANCE,FANCC,FANCB,FANCA,USP1,FANCM,FANCL,FAAP24,FANCI,BRCA1,BRCA2,RMI2,BLM,REV3L,CENPX,REV1,TELO2,PMS2,RAD51C,FAN1,RPA4,PALB2,RPA1,RPA3,RPA2,WDR48,TOP3A,RAD51,HES1,TOP3B,EME1,APITD1-CORT,EME2"
