ComplexName	GO description	FunCat description	subunits(Gene name)
BCL6-HDAC4 complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus"	BCL6;HDAC4;
BCL6-HDAC5 complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus"	BCL6;HDAC5;
BCL6-HDAC7 complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus"	BCL6;HDAC7;
Multisubunit ACTR coactivator complex	transcription activation;cellular signalling;nucleus	"positive regulation of transcription, DNA-templated;signaling;nucleus"	EP300;CREBBP;KAT2B;NCOA3;
6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	transcriptional control;DNA binding;cellular signalling;chemoperception and response;nucleus	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;signaling;detection of chemical stimulus;response to chemical;nucleus"	AHR;ARNT;
Condensin I complex	M phase;chromosome condensation;chromosome segregation/division;organization of chromosome structure;chromosome	M phase;mitotic nuclear division;chromosome condensation;chromosome segregation;chromosome organization;chromosome	SMC2;NCAPH;NCAPD2;NCAPG;SMC4;
BLOC-3 (biogenesis of lysosome-related organelles complex 3)	endosome;vacuole or lysosome	endosome organization;lysosome organization;vacuole organization	HPS1;HPS4;
MUS81-CDS1 complex	DNA repair;DNA recombination	DNA repair;DNA recombination	CDS1;MUS81;
NCOR complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"	HDAC3;TBL1X;NCOR1;GPS2;CORO2A;TBL1XR1;
9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex	stress response;chemoperception and response;cytoplasm	response to stress;detection of chemical stimulus;response to chemical;cytoplasm	AIP;HSP90AA1;HSP90AB1;AHR;
Bestrophin-protein phosphatase 2A complex	chloride transport;ion channels;cellular signalling;photoperception and response;visual transduction	chloride transport;ion channel activity;signaling;detection of light stimulus;response to light stimulus;visual perception	PPP2R1A;PPP2CA;BEST1;
Arp2/3 complex	None	None	ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2;
Modulator	proteasomal degradation (ubiquitin/proteasomal pathway);ATP binding;regulation by binding / dissociation;protein binding;protease activator;cytoplasm;nucleus	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;ATP binding;regulation of binding;protein binding;peptidase activator activity;cytoplasm;nucleus	PSMC6;PSMD9;PSMC3;
PA28gamma complex	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;regulation by binding / dissociation;protease activator;cytoplasm;nucleus	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;regulation of binding;peptidase activator activity;cytoplasm;nucleus	PSME3;
PA28 complex	proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;protease activator;cytoplasm	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm	PSME1;PSME2;
PA700 complex	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;regulation by binding / dissociation;protease activator;cytoplasm	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;regulation of binding;peptidase activator activity;cytoplasm	PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13;
Prefoldin complex	protein folding and stabilization;actin cytoskeleton;microtubule cytoskeleton	protein stabilization;protein folding;actin cytoskeleton organization;microtubule cytoskeleton organization	PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2;
Aqp4-Dag1-Dmd-Snta1 complex	channel / pore class transport;eukaryotic plasma membrane / membrane attached	channel activity;plasma membrane	DMD;AQP4;SNTA1;DAG1;
AP1 adaptor complex	"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2;
Harmonin-CAD23 complex	hearing;cell differentiation	sensory perception of sound;cell differentiation	CDH23;USH1C;
immunoproteasome	protein processing (proteolytic);proteasomal degradation (ubiquitin/proteasomal pathway);stress response;antigen presentation / processing;cytoplasm;nucleus	protein processing;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;response to stress;antigen processing and presentation;cytoplasm;nucleus	PSMB1;PSMB10;PSMA3;PSMB8;PSMB9;PSMA2;PSMB4;PSMA6;PSMA4;PSMB3;PSMB2;PSMA1;PSMA7;PSMA5;
Mi-2/NuRD-MTA2 complex	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus"	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus"	MTA2;MBD3;BCL6;HDAC1;MTA3;
CASK-MINT-VELI tripartite complex	assembly of protein complexes;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction	protein complex assembly;synaptic vesicle transport;synaptic vesicle exocytosis;synaptic transmission;cell adhesion;cell junction	APBA1;CASK;LIN7A;
