Broad druggable gene	HGNC ID 	Location 	Count	Broad CTD2 440 compound plates	Status	TARGET_NODES
ATP1A1 	HGNC:799 	1p13 	1	Zebularine	probe 	CDA;DNMT1
ATP1A2 	HGNC:800 	1q23.2 	2	Epz004777 Analog	probe 	DOT1L
ATP1A3 	HGNC:801 	19q13.2 	3	Importazole	probe 	KPNB1
ATP1A4 	HGNC:14073 	1q23.2 	4	Sr8278	probe 	NR1D1
ATP1B1 	HGNC:804 	1q24.2 	5	Bxl-628;Elocalcitol	clinical 	VDR
ATP1B3 	HGNC:806 	3q23 	6	Ml204	probe 	IDH1
ATP5L2 	HGNC:13213 	22q13.2 	7	Docetaxel;Taxotere	FDA 	TUBB1;BCL2
ATP6V0A1 	HGNC:865 	17q21 	8	Cyclophosphamide;Endoxan;Cytoxan;Neosar;Procytox;Revimmune	FDA 	
ABCG2 	HGNC:74 	4q22.1 	9	Nutlin-3	clinical 	MDM2
ABL1 	HGNC:76 	9q34.1 	10	Nvp-231	probe 	CERK
ABL2 	HGNC:77 	1q25.2 	11	Triptolide	clinical 	
ACA T1 	HGNC:93 	11q22.3 	12	Avicin D	probe 	NR3C1
ACER1 	HGNC:18356 	19p13.3 	13	Bax Channel Blocker;Brd3547	probe 	BAX
ACER2 	HGNC:23675 	9p21.3 	14	Cct036477;Brd7170	probe 	
ACER3 	HGNC:16066 	11q13.5 	15	Erastin	probe 	VDAC1;VDAC2
ACTB 	HGNC:132 	7p22 	16	Curcubitacin I;Jsi-124	probe 	NFKB1
ADORA2A 	HGNC:263 	22q11.23 	17	Paclitaxel;Taxol	FDA 	TUBB1
AGXT 	HGNC:341 	2q37.3 	18	Hyperforin	clinical 	TRPC6
AHR 	HGNC:348 	7p15 	19	Brefeldin A	probe 	ARF1
AKT1 	HGNC:391 	14q32.33 	20	Itraconazole;Sporanox	FDA 	
AKT2 	HGNC:392 	19q13.1-q13.2 	21	Dexamethasone;Decadron	FDA 	NR3C1
AKT3 	HGNC:393 	1q44 	22	Teniposide;Vumon;Vm-26	FDA 	TOP2A;TOP2B
ALK 	HGNC:427 	2p23 	23	Ml162;Brd5421	probe 	
ANPEP 	HGNC:500 	15q25-q26 	24	Necrostatin-1	probe 	RIPK1
APC 	HGNC:583 	5q21-q22 	25	Sn-38;7-Ethyl-10-Hydroxycamptothecin	probe 	TOP1
APH1A 	HGNC:29509 	1q21.2 	26	Ciclosporin;Cyclosporin	FDA 	
AR 	HGNC:644 	Xq12 	27	Tgx-221	probe 	PIK3CB
ARAF 	HGNC:646 	Xp11.3-p11.23 	28	Bleomycin	FDA 	
ARF1 	HGNC:652 	1q42.13 	29	968	probe 	GLS
ARFGAP1 	HGNC:15852 	20q13.33 	30	Fluvastatin;Lescol	FDA 	HMGCR
ARFGAP3 	HGNC:661 	22q13.2 	31	Px-12;Iv-2	clinical 	TXN
ARG1 	HGNC:663 	6q23 	32	Pd318088	probe 	MAP2K1;MAP2K2
ARG2 	HGNC:664 	14q24.1 	33	Col-3	clinical 	MMP1
ASAH1 	HGNC:735 	8p22 	34	Yk-4-279	probe 	ERG;ETV1;EWSR1;FLI1
ASAH2 	HGNC:18860 	10q11.23 	35	Fumonisin B1	probe 	CERS1;CERS2;CERS3;CERS4;CERS5;CERS6
ATM 	HGNC:795 	11q22-q23 	36	Ifosfamide;Ifex	FDA 	
ATR 	HGNC:882 	3q23 	37	Salermide	probe 	SIRT1;SIRT2
AURKA 	HGNC:11393 	20q13 	38	Bcl-Lzh-4	probe 	BCL2L1
AURKB 	HGNC:11390 	17p13.1 	39	Isoevodiamine;Evodiamine	probe 	
AURKC 	HGNC:11391 	19q13.43 	40	Lovastatin Acid;Np-001236;Mevacor;Altocor;Altoprev	FDA 	HMGCR
AXIN1 	HGNC:903 	16p13.3 	41	Mh2075	probe 	IDH1
AXL 	HGNC:905 	19q13.1 	42	Blebbistatin	probe 	MYH1;MYH2
BAX 	HGNC:959 	19q13.3-q13.4 	43	Myriocin;Antibiotic Isp-1;Thermozymocidin	probe 	SPTLC1;SPTLC2;SPTLC3
BCL2 	HGNC:990 	18q21.3 	44	Ipr-456	probe 	PLAUR
BCL2L1 	HGNC:992 	20q11.21 	45	Nsc23766	probe 	RAC1;TRIO;TIAM1
BCL2L10 	HGNC:993 	15q21 	46	Oligomycin A	probe 	ATP5L2
BCL2L2 	HGNC:995 	14q11.2-q12 	47	Ml258	probe 	BCL2L10
BCR 	HGNC:1014 	22q11 	48	Fulvestrant;Faslodex	FDA 	ESR1
BIRC2 	HGNC:590 	11q22 	49	Cid-5951923	probe 	KLF5
BIRC3 	HGNC:591 	11q22 	50	Thalidomide	FDA 	KDR;TNF
BIRC5 	HGNC:593 	17q25.3 	51	Temozolomide;Methazolastone;Temodar;Temodal	FDA 	
BRAF 	HGNC:1097 	7q34 	52	Cyanoquinoline 11	clinical 	MAP3K8;EGFR
BRD2 	HGNC:1103 	6p21.3 	53	Rita;Nsc652287	probe 	TP53;MDM2
BRD3 	HGNC:1104 	9q34 	54	Tubastatin A	probe 	HDAC6
BRD4 	HGNC:13575 	19p13.12 	55	Brd-K01121114	probe 	
BRDT 	HGNC:1105 	1p22.1 	56	Lrrk2-In-1	probe 	LRRK2
BTK 	HGNC:1133 	Xq21.33-q22 	57	Sp600125	probe 	MAPK8;MAPK9;MAPK10
CA1 	HGNC:1368 	8q21.2 	58	Brd-K01737880	probe 	
CA12 	HGNC:1371 	15q22 	59	Ml210;Tl-Hras-61	probe 	
CA13 	HGNC:14914 	8q21.2 	60	Nvp-Bsk805	probe 	JAK2
CA14 	HGNC:1372 	1q21 	61	Olaparib;Azd-2281;Ku-0059436	clinical 	PARP1;PARP2
CA2 	HGNC:1373 	8q21.2 	62	Panobinostat;Thm-I-91;Lbh-589	clinical 	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
CA3 	HGNC:1374 	8q21.2 	63	Brd-K02251932	GE- active 	
CA4 	HGNC:1375 	17q23.1 	64	Parbendazole	probe 	
CA6 	HGNC:1380 	1p36.2 	65	Qs-11	probe 	ARFGAP1
CA7 	HGNC:1381 	16q22.1 	66	Sm-406;A T-406	probe 	XIAP;BIRC2;BIRC3
CA9 	HGNC:1383 	9p13.3 	67	Su11274	probe 	MET
CASP3 	HGNC:1504 	4q34 	68	Hc-067047	probe 	TRPV4
CASP6 	HGNC:1507 	4q25 	69	Azacitidine	FDA 	DNMT1
CASP7 	HGNC:1508 	10q25 	70	Foretinib;Xl880;Exel-2880;Gsk1363089;Gsk089	clinical 	MET;KDR
CCR4 	HGNC:1605 	3p24-p21.3 	71	Merck60;Brd6929	probe 	HDAC1;HDAC2
CD19 	HGNC:1633 	16p11.2 	72	Bibr-1532	probe 	TERT
CD22 	HGNC:1643 	19q13.1 	73	Brd-K04800985	GE- active 	
CD248 	HGNC:18219 	11q13 	74	Bms-270394	probe 	RARG
CD33 	HGNC:1659 	19q13.3 	75	Bio;6-Bromoindirubin-3'-Oxime;6Bio	probe 	JAK1;JAK2;JAK3;GSK3B
CD37 	HGNC:1666 	19q13.33 	76	Ml030;Triazolothiadiazine	probe 	PDE4A;PDE4B;PDE4D
CD38 	HGNC:1667 	4p15.32 	77	Brd9647	probe 	
CD52 	HGNC:1804 	1p36 	78	Pdmp;1-Phenyl-2-Decanoylamino-3-Morpholino-1-Propanol	probe 	UGCG
CD79B 	HGNC:1699 	17q23 	79	Le-135	probe 	RARB
CDA 	HGNC:1712 	1p36.2-p35 	80	Gsk1059615	clinical 	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG
CDC25A 	HGNC:1725 	3p21 	81	Narciclasine	probe 	RHOA
CDC25B 	HGNC:1726 	20p13 	82	Am-580	probe 	RARA;RARB;RARG
CDC25C 	HGNC:1727 	5q31 	83	Aa-Cocf3;Arachidonyl Trifluoromethyl Ketone	probe 	PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;FAAH
CDK1 	HGNC:1722 	10q21.2 	84	Gsk525762A;I-Bet	probe 	BRD2;BRD3;BRD4
CDK2 	HGNC:1771 	12q13 	85	Temsirolimus;Cci-779;Torisel	FDA 	MTOR
CDK4 	HGNC:1773 	12q13 	86	Sid-26681509;Brd7745	probe 	CTSL1
CDK5 	HGNC:1774 	7q36 	87	Linsitinib	clinical 	IGF1R;IGF1
CDK6 	HGNC:1777 	7q21-q22 	88	N-Hexanoyl-D-Sphingosine;C6-Ceramide	probe 	UGCG;MAPK1;PPP2CA
CDK7 	HGNC:1778 	5q12.1 	89	Brd-K09344309	probe 	
CDK9 	HGNC:1780 	9q34.1 	90	Gant-61	probe 	GLI1;SMO
CEACAM5 	HGNC:1817 	19q13.1-q13.2 	91	Ku-0060648	probe 	PRKDC
CERK 	HGNC:19256 	22q13.31 	92	Brd-K09587429	GE- active 	
CERS1 	HGNC:14253 	19p12 	93	Fgin-1-27	probe 	TSPO
CERS2 	HGNC:14076 	1q21.3 	94	Prl-3 Inhibitor I;Brd7482	probe 	PTP4A3
CERS3 	HGNC:23752 	15q26.3 	95	Dabrafenib;Dabrafenib Mesylate;Gsk2118436	clinical 	BRAF
CERS4 	HGNC:23747 	19p13.2 	96	"Gw-405833;L-768,242"	probe 	CB2
CERS5 	HGNC:23749 	12q13.12 	97	Bo2	probe 	RAD51
CERS6 	HGNC:23826 	2q31 	98	Brd-K11533227	probe 	HDAC1;HDAC2
CHEK1 	HGNC:1925 	11q24.2 	99	Pf-184	probe 	IKBKB
CHEK2 	HGNC:16627 	22q12.1 	100	Carboplatin	FDA 	
CLK1 	HGNC:2068 	2q33 	101	At7867	probe 	AKT1;AKT2;AKT3;RPS6KB2
CLK4 	HGNC:13659 	5q35 	102	Bez235;Nvp-Bez235	clinical 	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG
CLTA 	HGNC:2090 	9p13.3 	103	Trametinib;Gsk1120212;Jtp-74057	clinical 	MAP2K1;MAP2K2
CLTB 	HGNC:2091 	5q35.2 	104	Tg-101348;Sar302503	clinical 	JAK2
CLTC 	HGNC:2092 	17q23.1 	105	Valdecoxib;Bextra	FDA 	PTGS2
CLTCL1 	HGNC:2093 	22q11.2 	106	Procarbazine;Matulane	FDA 	
CMPK1 	HGNC:18170 	1p34.1-p33 	107	Ciclopirox Olamine;Loprox	FDA 	RRM1
CPT1A 	HGNC:2328 	11q13.2 	108	Bms-754807	probe 	IGF1R
CRBN 	HGNC:30185 	3p26.3 	109	Bms-345541	probe 	IKBKB
CREB1 	HGNC:2345 	2q34 	110	Dinaciclib;Sch727965	clinical 	CDK1;CDK2;CDK5;CDK9
