Broad druggable gene	HGNC ID 	Location 
ATP1A1 	HGNC:799 	1p13 
ATP1A2 	HGNC:800 	1q23.2 
ATP1A3 	HGNC:801 	19q13.2 
ATP1A4 	HGNC:14073 	1q23.2 
ATP1B1 	HGNC:804 	1q24.2 
ATP1B3 	HGNC:806 	3q23 
ATP1B4 	HGNC:808 	Xq24 
ATP5L2 	HGNC:13213 	22q13.2 
ATP6V0A1 	HGNC:865 	17q21 
ABCG2 	HGNC:74 	4q22.1 
ABL1 	HGNC:76 	9q34.1 
ABL2 	HGNC:77 	1q25.2 
ACA T1 	HGNC:93 	11q22.3 
ACER1 	HGNC:18356 	19p13.3 
ACER2 	HGNC:23675 	9p21.3 
ACER3 	HGNC:16066 	11q13.5 
ACTB 	HGNC:132 	7p22 
ADORA2A 	HGNC:263 	22q11.23 
AGXT 	HGNC:341 	2q37.3 
AHR 	HGNC:348 	7p15 
AKT1 	HGNC:391 	14q32.33 
AKT2 	HGNC:392 	19q13.1-q13.2 
AKT3 	HGNC:393 	1q44 
ALK 	HGNC:427 	2p23 
ANPEP 	HGNC:500 	15q25-q26 
APC 	HGNC:583 	5q21-q22 
APH1A 	HGNC:29509 	1q21.2 
AR 	HGNC:644 	Xq12 
ARAF 	HGNC:646 	Xp11.3-p11.23 
ARF1 	HGNC:652 	1q42.13 
ARFGAP1 	HGNC:15852 	20q13.33 
ARFGAP3 	HGNC:661 	22q13.2 
ARG1 	HGNC:663 	6q23 
ARG2 	HGNC:664 	14q24.1 
ASAH1 	HGNC:735 	8p22 
ASAH2 	HGNC:18860 	10q11.23 
ATM 	HGNC:795 	11q22-q23 
ATR 	HGNC:882 	3q23 
AURKA 	HGNC:11393 	20q13 
AURKB 	HGNC:11390 	17p13.1 
AURKC 	HGNC:11391 	19q13.43 
AXIN1 	HGNC:903 	16p13.3 
AXL 	HGNC:905 	19q13.1 
BAX 	HGNC:959 	19q13.3-q13.4 
BCL2 	HGNC:990 	18q21.3 
BCL2L1 	HGNC:992 	20q11.21 
BCL2L10 	HGNC:993 	15q21 
BCL2L2 	HGNC:995 	14q11.2-q12 
BCR 	HGNC:1014 	22q11 
BIRC2 	HGNC:590 	11q22 
BIRC3 	HGNC:591 	11q22 
BIRC5 	HGNC:593 	17q25.3 
BRAF 	HGNC:1097 	7q34 
BRD2 	HGNC:1103 	6p21.3 
BRD3 	HGNC:1104 	9q34 
BRD4 	HGNC:13575 	19p13.12 
BRDT 	HGNC:1105 	1p22.1 
BTK 	HGNC:1133 	Xq21.33-q22 
CA1 	HGNC:1368 	8q21.2 
CA12 	HGNC:1371 	15q22 
CA13 	HGNC:14914 	8q21.2 
CA14 	HGNC:1372 	1q21 
CA2 	HGNC:1373 	8q21.2 
CA3 	HGNC:1374 	8q21.2 
CA4 	HGNC:1375 	17q23.1 
CA6 	HGNC:1380 	1p36.2 
CA7 	HGNC:1381 	16q22.1 
CA9 	HGNC:1383 	9p13.3 
CASP3 	HGNC:1504 	4q34 
CASP6 	HGNC:1507 	4q25 
CASP7 	HGNC:1508 	10q25 
CCR4 	HGNC:1605 	3p24-p21.3 
CD19 	HGNC:1633 	16p11.2 
CD22 	HGNC:1643 	19q13.1 
CD248 	HGNC:18219 	11q13 
CD33 	HGNC:1659 	19q13.3 
CD37 	HGNC:1666 	19q13.33 
CD38 	HGNC:1667 	4p15.32 
CD52 	HGNC:1804 	1p36 
CD79B 	HGNC:1699 	17q23 
CDA 	HGNC:1712 	1p36.2-p35 
CDC25A 	HGNC:1725 	3p21 
CDC25B 	HGNC:1726 	20p13 
CDC25C 	HGNC:1727 	5q31 
CDK1 	HGNC:1722 	10q21.2 
CDK2 	HGNC:1771 	12q13 
CDK4 	HGNC:1773 	12q13 
CDK5 	HGNC:1774 	7q36 
CDK6 	HGNC:1777 	7q21-q22 
CDK7 	HGNC:1778 	5q12.1 
CDK9 	HGNC:1780 	9q34.1 
CEACAM5 	HGNC:1817 	19q13.1-q13.2 
CERK 	HGNC:19256 	22q13.31 
CERS1 	HGNC:14253 	19p12 
CERS2 	HGNC:14076 	1q21.3 
CERS3 	HGNC:23752 	15q26.3 
CERS4 	HGNC:23747 	19p13.2 
CERS5 	HGNC:23749 	12q13.12 
CERS6 	HGNC:23826 	2q31 
CHEK1 	HGNC:1925 	11q24.2 
CHEK2 	HGNC:16627 	22q12.1 
CLK1 	HGNC:2068 	2q33 
CLK4 	HGNC:13659 	5q35 
CLTA 	HGNC:2090 	9p13.3 
CLTB 	HGNC:2091 	5q35.2 
CLTC 	HGNC:2092 	17q23.1 
CLTCL1 	HGNC:2093 	22q11.2 
CMPK1 	HGNC:18170 	1p34.1-p33 
CPT1A 	HGNC:2328 	11q13.2 
CRBN 	HGNC:30185 	3p26.3 
CREB1 	HGNC:2345 	2q34 
CREBBP 	HGNC:2348 	16p13.3 
CSF1R 	HGNC:2433 	5q32 
CSNK1A1 	HGNC:2451 	5q32 
CSNK1D 	HGNC:2452 	17q25 
CSNK1E 	HGNC:2453 	22q13.1 
CSNK2A1 	HGNC:2457 	20p13 
CSNK2A2 	HGNC:2459 	16q21 
CTLA4 	HGNC:2505 	2q33 
CTNNB1 	HGNC:2514 	3p21 
CUL1 	HGNC:2551 	7q36.1 
CUL4A 	HGNC:2554 	13q34 
CUL4B 	HGNC:2555 	Xq23 
CXCR2 	HGNC:6027 	2q35 
CXCR4 	HGNC:2561 	2q21 
CYP17A1 	HGNC:2593 	10q24.3 
CYP19A1 	HGNC:2594 	15q21 
DDB1 	HGNC:2717 	11q12.2 
DHFR 	HGNC:2861 	5q14.1 
DIABLO 	HGNC:21528 	12q24.31 
DLL4 	HGNC:2910 	15q14 
DNM1 	HGNC:2972 	9q34 
DNMT1 	HGNC:2976 	19p13.2 
DOT1L 	HGNC:24948 	19p13.3 
DPP4 	HGNC:3009 	2q24.2 
DRD2 	HGNC:3023 	11q23.2 
EDNRB 	HGNC:3180 	13q22 
EGFR 	HGNC:3236 	7p12 
EHMT1 	HGNC:24650 	9q34.3 
EHMT2 	HGNC:14129 	6p21.3 
ENPP3 	HGNC:3358 	6q22 
EP300 	HGNC:3373 	22q13.2 
EPCAM 	HGNC:11529 	2p21 
EPHA2 	HGNC:3386 	1p36 
ERBB2 	HGNC:3430 	17q11.2-q12 
ERBB3 	HGNC:3431 	12q13 
ERBB4 	HGNC:3432 	2q33.3-q34 
ERG 	HGNC:3446 	21q22.3 
ESR1 	HGNC:3467 	6q24-q27 
ESR2 	HGNC:3468 	14q21-q22 
ETV1 	HGNC:3490 	7p22 
EWSR1 	HGNC:3508 	22q12.2 
EZH2 	HGNC:3527 	7q35-q36 
F2R 	HGNC:3537 	5q13 
FAAH 	HGNC:3553 	1p35-p34 
FASN 	HGNC:3594 	17q25 
FGFR1 	HGNC:3688 	8p11.23-p11.22 
FGFR2 	HGNC:3689 	10q25.3-q26 
FGFR3 	HGNC:3690 	4p16.3 
FGFR4 	HGNC:3691 	5q35.2 
FLI1 	HGNC:3749 	11q24.1-q24.3 
FLT1 	HGNC:3763 	13q12 
FLT3 	HGNC:3765 	13q12 
FLT4 	HGNC:3767 	5q34-q35 
FNTA 	HGNC:3782 	8p11.21 
FNTB 	HGNC:3785 	14q23.3 
FOLH1 	HGNC:3788 	11p11.2 
FYN 	HGNC:4037 	6q21 
